Episode,Episode reward,Interval reward,EMA reward
0,-23.058598726114532,-23.058598726114532,-2.305859872611453
10,-11.4575539568344,-14.362709907763412,-9.340892190189548
20,-10.273134328358081,-13.21958973876439,-11.172556029635627
30,-8.548314606741448,-9.627587900845626,-10.047011389712333
40,0.7436619718312282,-5.325303187513343,-5.97621400210852
50,-0.6241134751770933,-8.834294863565978,-7.780816994428926
60,1.4666666666668187,-2.308696713934802,-3.681112733289312
70,-16.57021276595728,-4.155104165469714,-4.42821736259299
80,-1.8185185185182773,-0.5227896015897497,-1.763239765146603
90,-14.727645051194413,-0.359111213569644,-1.170368834424622
100,-7.260431654676111,2.5152471707513984,1.2662645149707095
110,11.133096085409393,-0.28816625271297036,0.4013672223449424
120,-0.9744966442950662,1.1033292821170921,1.205460689253904
130,15.891970802919321,4.0477837847364935,3.304717076270101
140,16.00990099009909,8.992612652147221,7.019392540214014
150,10.592096219931397,8.355468737403196,7.782977871773586
160,5.294267515923767,6.210666228460354,6.885487791845487
170,14.481818181818113,8.1937682352919,8.237910541588938
180,2.3459459459461605,10.428146663334962,8.764744312039328
190,19.006930693068966,7.563185360043704,8.078413821041465
200,13.283687943262155,13.863555076949359,11.920408054688629
210,17.227210884353436,15.03752813214785,14.151553098122333
220,6.266666666666742,8.75378797620558,10.981252383021385
230,3.653993610223729,11.781158333437594,10.805356658510783
240,9.387969924812067,5.631622089550748,7.662376376421054
250,2.2448275862070934,18.30245712894716,14.816139262717519
260,-0.08383233532921897,10.640925974354094,11.302127127207646
270,19.701858736059272,11.854330687624767,11.95369213082925
280,14.278405315614378,12.100449827383162,11.785354162069007
290,16.17142857142842,11.05165023216178,12.056503090446096
300,4.081818181818392,6.8194124843215445,8.62323452931044
310,18.167441860464574,17.116795287159018,14.316712540722401
320,24.42066420664186,14.247452633508697,14.367392349135487
330,20.5545454545451,7.797570296653021,10.284439111533892
340,11.504626334519541,6.9377643093378465,8.703263465278539
350,37.30740740740685,17.436955224298746,14.50759314320648
360,15.684210526315358,13.535038318528015,13.774798902570348
370,9.889473684210511,21.0016175498058,16.731222552655122
380,35.13772241992838,16.067816639752778,17.29290861374366
390,55.266666666666104,14.817693754311176,17.461386373768654
400,10.033887043189448,12.647757592132622,14.189162097897254
410,9.589250814332312,17.756013089583703,16.165641447247264
420,16.457142857142717,20.98086505922427,19.144141228070872
430,17.79411764705792,12.85488853011191,14.818505576199634
440,22.218867924527725,14.177601450147773,14.696161818687088
450,8.415960912052181,17.19854877444218,14.71555614487455
460,28.261111111110623,24.176677643113464,21.45961911389152
470,12.6241379310345,14.01310830413893,17.183770239317894
480,20.19343065693386,13.78250242690369,15.584059184446687
490,46.77626459143918,21.17780979160054,20.177735709520515
500,7.671197411003357,10.142186099058272,13.758177080473887
510,22.307462686566947,23.75277169164939,21.049072884325312
520,18.136363636363388,18.35306954233404,19.05455367860914
530,25.72704402515678,20.35519863707028,19.891248878339738
540,28.938095238094576,20.54713758702263,20.201261780960063
550,14.435825545171074,24.162166383319082,20.78744422646198
560,29.667213114753586,25.40043357870904,24.9833064462752
570,21.522491349480823,17.964964558880556,21.185622873592983
580,30.190774907748683,21.066857584177637,20.679381450641458
590,44.85957446808414,15.945234441872355,18.21191784783033
